1,2,3
73.8,73.9,73.8
73.6,73.5,73.4
73,73.1,73
72.5,72.6,72.5
72.1,72.2,72.1
71.7,71.9,71.7
69.7,69.8,69.7
67.7,67.9,67.7
65.7,65.9,65.8
