1,2,3
74.3,74.3,74.3
73.4,73.5,73.4
72.6,72.7,72.6
71.8,71.8,71.8
71,71,71.1
70.2,70.1,70.2
66.1,66.1,66.2
62,62,62.1
58.1,58,58.05
