1,2,3
54.6,54.6,54.7
53,53,53
51.35,51.4,51.4
49.8,49.8,49.9
48.1,48.1,48.05
46.4,46.5,46.4
38.2,38.3,38.2
30.1,30.2,30.25
22.1,22.2,22
